"Idea ID"	"Submitted Date/Time"	"Idea Status"	"Creator ID"	"Creator Department"	"Number of times the Idea has been shared"	"Number of Votes"	"Number of Comments"	"Number of Views"	"Keywords"
9009	"2024-07-11 17:18:20"	"Concept"	"edd6e50a36413aec06106bc7300d85a7"	"Sales"	0	0	0	9	" "
9004	"2024-07-09 21:47:23"	"Consultation"	"7d77ba09d62d4a0fad15fb7d92789bb2"	"Marketing"	0	0	1	16	" "
9003	"2024-07-09 21:46:12"	"Consultation"	"6040d1ec2d5f4faf9f7a09d75c56e001"	"Marketing"	0	0	1	9	" "
9002	"2024-07-09 17:40:04"	"Consultation"	"f1cf9f9ce62c415eb1e3dd4256b80fda"	"Marketing"	0	0	3	17	" "
8715	"2024-06-06 01:15:26"	"Consultation"	"55171484091d40eaa67ad68087caa899"	"Product"	0	2	2	11	" "
8711	"2024-06-05 10:10:34"	"Consultation"	"6fcfa6824b37453cb1275baeaacc2694"	" "	0	4	1	16	"EVALUATION, FIELDS, UI/UX"
8701	"2024-05-31 22:04:42"	"Consultation"	"00397f7ecdee465c835d201c48741489"	" "	0	0	1	6	"UI/UX, ADVANCED ANALYTICS, ANALYTICS, DASHBOARD"
8700	"2024-05-31 21:36:15"	"Concept"	"00397f7ecdee465c835d201c48741489"	" "	0	0	0	4	"ADVANCED ANALYTICS, UI/UX, ANALYTICS"
8699	"2024-05-31 15:08:02"	"Concept"	"8d59198c4a4a4c82bf278da1c125abe0"	" "	0	0	0	2	" "
8692	"2024-05-29 14:56:06"	"Consultation"	"10d827a93e036b4e4c64258c397a1f35"	"Management"	0	1	7	37	"ENGAGEMENT, SOCIAL, IDEA, COMMENTS, UI/UX"
8685	"2024-05-24 11:54:46"	"Revision"	"10d827a93e036b4e4c64258c397a1d41"	"Exec"	0	0	0	9	" "
8679	"2024-05-20 15:38:01"	"Consultation"	"b725afc984f34e47b5828d3846ff9f14"	" "	0	0	1	7	" "
8676	"2024-05-17 16:41:00"	"Consultation"	"0156cb38bcde4cc0b00d5bfd45d67594"	"Product Team"	0	0	2	8	" "
8675	"2024-05-16 18:34:28"	"Consultation"	"15569ad42217426e9fe1c9b1a9f06837"	"Customer Success Management"	0	1	2	4	"FORM, DEVELOPMENT STAGE"
8671	"2024-05-10 09:58:56"	"Concept"	"a0e5f05808c249808d287121c3593c71"	"Marketing"	0	0	0	6	" "
8666	"2024-05-09 10:07:04"	"Consultation"	"cafee1261db041efafe39923befc8ddf"	" "	0	1	2	44	"FORM FIELD, FORM FIELD RESPONSES, FIELDS, DATE, COMPLEX FORMS, FORECASTING, PORTFOLIO"
8662	"2024-05-07 12:25:27"	"Concept"	"8d59198c4a4a4c82bf278da1c125abe0"	" "	0	0	0	13	" "
8657	"2024-05-03 20:52:50"	"Concept"	"55171484091d40eaa67ad68087caa899"	"Product"	0	0	0	2	" "
8656	"2024-05-03 20:50:43"	"Concept"	"55171484091d40eaa67ad68087caa899"	"Product"	0	0	0	3	" "
8647	"2024-05-01 12:35:34"	"Revision"	"10d827a93e036b4e4c64258c397a1d41"	"Exec"	0	0	0	4	" "
8640	"2024-04-28 15:50:05"	"Consultation"	"10d827a93e036b4e4c64258c397a1d41"	"Exec"	0	0	1	36	" "
8639	"2024-04-28 15:08:04"	"Concept"	"10d827a93e036b4e4c64258c397a1d41"	"Exec"	0	0	0	17	" "
8638	"2024-04-28 14:38:52"	"Approved"	"10d827a93e036b4e4c64258c397a1d41"	"Exec"	0	0	0	13	" "
8633	"2024-04-26 09:28:02"	"Approved"	"10d827a93e036b4e4c64258c397a1d41"	"Exec"	0	1	6	30	" "
8612	"2024-04-23 17:52:19"	"Consultation"	"885475b36efe4cecaa7f582bb292384f"	" "	0	0	3	15	" "
